"04 Södermanlands län","9.6.1 slutanv. Spec Hushåll småhus","träbränsle",280126,297392,174403,240081,300249,284240,170860,297784,274517,296379,302838
"04 Södermanlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","diesel",3219,5141,3647,3624,2735,2182,1853,1594,1126,1005,363
"04 Södermanlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","eldningsolja 1",129642,169028,99807,92052,119532,63813,43639,33865,30567,35452,5282
"04 Södermanlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","eldningsolja>1",2953,46265,2741,0,0,0,0,0,0,0,130
"04 Södermanlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","träbränsle",0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","9.6.3 slutanv. Spec Hushåll fritidshus","diesel",0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","9.6.3 slutanv. Spec Hushåll fritidshus","eldningsolja 1",0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","9.6.3 slutanv. Spec Hushåll fritidshus","eldningsolja>1",0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","9.6.3 slutanv. Spec Hushåll fritidshus","träbränsle",23166,26358,24216,0,17634,0,0,0,0,0,0
"05 Östergötlands län","9.6.1 slutanv. Spec Hushåll småhus","diesel",6372,12309,1469,1440,1860,1574,1634,1455,1554,2219,2306
"05 Östergötlands län","9.6.1 slutanv. Spec Hushåll småhus","eldningsolja 1",567764,452050,352692,343460,185541,172878,111768,85814,77953,60327,18959
"05 Östergötlands län","9.6.1 slutanv. Spec Hushåll småhus","eldningsolja>1",0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","9.6.1 slutanv. Spec Hushåll småhus","träbränsle",445971,589755,379068,521819,431987,482511,288293,502452,463193,500081,510980
"05 Östergötlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","diesel",3382,3308,953,1114,1049,1196,1176,1046,996,1085,621
"05 Östergötlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","eldningsolja 1",277754,198189,92591,112138,364375,58074,47664,41985,37093,24387,10356
"05 Östergötlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","eldningsolja>1",42819,2709,15863,0,0,0,0,0,0,0,440
"05 Östergötlands län","9.6.2 slutanv. Spec Hushåll flerbostadshus","träbränsle",0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","9.6.3 slutanv. Spec Hushåll fritidshus","diesel",0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","9.6.3 slutanv. Spec Hushåll fritidshus","eldningsolja 1",0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","9.6.3 slutanv. Spec Hushåll fritidshus","eldningsolja>1",0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","9.6.3 slutanv. Spec Hushåll fritidshus","träbränsle",25039,23620,21459,0,21168,0,0,0,0,0,0
"06 Jönköpings län","9.6.1 slutanv. Spec Hushåll småhus","diesel",11737,22175,2911,2995,3456,4115,4474,3866,4045,3771,2175
"06 Jönköpings län","9.6.1 slutanv. Spec Hushåll småhus","eldningsolja 1",651024,747038,505340,431904,280345,262495,166666,121971,118852,78287,26770
"06 Jönköpings län","9.6.1 slutanv. Spec Hushåll småhus","eldningsolja>1",0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","9.6.1 slutanv. Spec Hushåll småhus","träbränsle",571983,585241,351944,473045,497993,645375,387409,675197,622440,672010,686656
"06 Jönköpings län","9.6.2 slutanv. Spec Hushåll flerbostadshus","diesel",3626,10216,5768,6052,5280,6775,7313,5201,4762,3801,849
"06 Jönköpings län","9.6.2 slutanv. Spec Hushåll flerbostadshus","eldningsolja 1",226267,221558,137339,163453,276139,120293,100560,91533,84857,68167,12238
"06 Jönköpings län","9.6.2 slutanv. Spec Hushåll flerbostadshus","eldningsolja>1",50058,40293,7112,20486,0,187,212,212,190,148,67
"06 Jönköpings län","9.6.2 slutanv. Spec Hushåll flerbostadshus","träbränsle",0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","9.6.3 slutanv. Spec Hushåll fritidshus","diesel",0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","9.6.3 slutanv. Spec Hushåll fritidshus","eldningsolja 1",0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","9.6.3 slutanv. Spec Hushåll fritidshus","eldningsolja>1",0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","9.6.3 slutanv. Spec Hushåll fritidshus","träbränsle",13163,12203,11305,0,19976,0,0,0,0,0,0
"07 Kronobergs län","9.6.1 slutanv. Spec Hushåll småhus","diesel",3339,11074,9560,9606,12518,14825,17356,15373,16599,12567,785
"07 Kronobergs län","9.6.1 slutanv. Spec Hushåll småhus","eldningsolja 1",247912,327821,188188,192096,124890,98434,64482,47136,49209,49631,11200
"07 Kronobergs län","9.6.1 slutanv. Spec Hushåll småhus","eldningsolja>1",0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","9.6.1 slutanv. Spec Hushåll småhus","träbränsle",396223,510917,315606,434460,449796,425779,254672,443856,409175,441761,451390
"07 Kronobergs län","9.6.2 slutanv. Spec Hushåll flerbostadshus","diesel",4113,4445,4798,5366,4069,5251,6526,5380,5281,5612,843
