"region","drivmedel","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12"
"00 Riket","bensin",5369,6046,8166,9079,10200,9101,8112,8954,9398,10143,9534,8749
"00 Riket","diesel",11067,11928,14794,16610,17216,15160,11590,13489,15331,15604,15328,17321
"00 Riket","el",43,26,29,24,24,26,5,26,44,80,56,69
"00 Riket","elhybrid",358,342,353,365,464,362,355,553,556,549,483,430
"00 Riket","laddhybrid",111,232,144,52,51,69,73,54,51,67,102,103
"00 Riket","etanol/etanol flexifuel",166,163,287,151,253,278,264,414,259,350,431,227
"00 Riket","gas/gas flexifuel",365,405,354,356,365,291,198,314,287,304,292,342
"00 Riket","övriga bränslen",3,1,4,5,2,2,3,3,1,4,9,5
"01 Stockholms län","bensin",1096,1407,1987,2145,2440,2279,1972,1916,2004,2406,2215,2048
"01 Stockholms län","diesel",3296,3979,4751,5001,6040,4678,3239,3868,4840,4736,4709,4647
"01 Stockholms län","el",18,7,6,11,11,1,4,11,7,17,18,12
"01 Stockholms län","elhybrid",146,143,143,161,209,163,147,214,217,193,189,201
"01 Stockholms län","laddhybrid",33,85,67,24,21,26,31,22,19,37,47,53
"01 Stockholms län","etanol/etanol flexifuel",59,41,193,51,109,132,73,105,53,80,200,91
"01 Stockholms län","gas/gas flexifuel",166,152,113,122,99,88,72,97,80,94,100,114
"01 Stockholms län","övriga bränslen",0,0,1,2,0,0,1,0,0,1,1,0
"03 Uppsala län","bensin",219,173,287,289,367,278,281,292,272,348,357,266
"03 Uppsala län","diesel",449,405,494,602,606,452,440,461,488,516,470,579
"03 Uppsala län","el",0,0,0,1,1,1,0,0,1,1,0,2
"03 Uppsala län","elhybrid",7,8,8,10,13,16,9,19,18,17,17,12
"03 Uppsala län","laddhybrid",1,6,6,1,6,3,4,2,3,3,2,5
"03 Uppsala län","etanol/etanol flexifuel",7,4,2,4,5,14,3,8,6,6,33,8
"03 Uppsala län","gas/gas flexifuel",9,9,5,6,2,8,4,5,4,5,4,7
"03 Uppsala län","övriga bränslen",1,0,0,0,0,0,1,0,0,0,0,0
"04 Södermanlands län","bensin",172,157,176,255,319,253,225,264,275,284,260,230
"04 Södermanlands län","diesel",217,252,306,392,386,320,286,320,336,319,351,473
"04 Södermanlands län","el",1,0,0,0,0,0,0,0,0,1,1,1
"04 Södermanlands län","elhybrid",13,18,12,25,15,2,5,9,11,14,17,9
"04 Södermanlands län","laddhybrid",3,3,3,0,1,3,3,0,1,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",2,2,3,6,4,3,6,7,4,4,4,8
"04 Södermanlands län","gas/gas flexifuel",2,4,7,7,6,7,3,4,8,6,8,6
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,1
"05 Östergötlands län","bensin",255,234,345,354,441,342,285,377,396,464,381,342
"05 Östergötlands län","diesel",396,418,534,615,635,542,473,508,593,628,612,683
"05 Östergötlands län","el",0,0,0,0,1,0,0,2,1,1,1,1
"05 Östergötlands län","elhybrid",9,14,12,15,11,17,8,22,32,21,12,21
"05 Östergötlands län","laddhybrid",5,9,3,2,0,3,0,0,2,2,4,1
"05 Östergötlands län","etanol/etanol flexifuel",3,2,5,8,13,15,16,35,25,26,4,11
"05 Östergötlands län","gas/gas flexifuel",24,8,18,25,11,16,11,23,14,33,16,5
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,0,1,0,0,0
"06 Jönköpings län","bensin",181,251,317,413,420,374,296,364,380,351,401,456
"06 Jönköpings län","diesel",404,345,577,733,615,535,460,520,644,610,601,724
"06 Jönköpings län","el",0,0,0,1,0,3,0,0,2,0,0,3
"06 Jönköpings län","elhybrid",8,5,8,11,9,4,13,8,9,15,10,4
"06 Jönköpings län","laddhybrid",2,5,2,1,2,3,1,1,0,2,2,1
"06 Jönköpings län","etanol/etanol flexifuel",5,2,3,4,5,4,24,27,20,24,7,17
"06 Jönköpings län","gas/gas flexifuel",4,14,8,7,8,9,10,8,11,16,2,14
"06 Jönköpings län","övriga bränslen",1,0,1,0,0,0,0,0,0,0,1,1
"07 Kronobergs län","bensin",112,124,164,221,209,216,162,187,220,185,209,207
"07 Kronobergs län","diesel",220,207,275,334,311,307,251,318,372,338,326,376
"07 Kronobergs län","el",0,0,0,0,0,1,0,0,1,0,0,0
"07 Kronobergs län","elhybrid",1,1,2,2,1,4,5,5,9,8,8,5
"07 Kronobergs län","laddhybrid",0,3,1,0,0,2,0,3,1,2,1,0
"07 Kronobergs län","etanol/etanol flexifuel",17,8,8,9,4,1,12,6,5,20,14,4
"07 Kronobergs län","gas/gas flexifuel",0,8,11,8,6,3,5,4,1,2,4,4
"07 Kronobergs län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","bensin",125,125,178,227,220,218,197,206,217,234,235,199
"08 Kalmar län","diesel",233,201,259,349,380,319,218,288,275,255,278,385
"08 Kalmar län","el",0,1,0,0,0,0,0,1,1,1,0,0
"08 Kalmar län","elhybrid",5,2,6,2,6,3,4,7,7,2,3,4
"08 Kalmar län","laddhybrid",1,1,3,2,0,0,1,2,1,1,1,1
"08 Kalmar län","etanol/etanol flexifuel",3,12,5,0,7,4,6,6,4,4,3,2
"08 Kalmar län","gas/gas flexifuel",2,3,0,2,3,7,3,4,6,1,0,5
"08 Kalmar län","övriga bränslen",0,0,1,0,0,0,0,0,0,0,0,0
"09 Gotlands län","bensin",16,21,41,36,64,38,36,41,36,40,37,37
"09 Gotlands län","diesel",33,22,31,30,59,47,30,36,47,42,26,33
"09 Gotlands län","el",1,0,0,0,0,0,0,1,0,0,0,1
"09 Gotlands län","elhybrid",1,2,1,2,3,2,1,2,4,3,1,5
"09 Gotlands län","laddhybrid",1,2,0,0,1,0,0,0,1,0,0,0
"09 Gotlands län","etanol/etanol flexifuel",0,0,0,0,1,0,0,0,0,0,0,0
"09 Gotlands län","gas/gas flexifuel",2,0,0,0,0,0,0,0,2,0,22,2
"09 Gotlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"10 Blekinge län","bensin",61,87,140,107,142,114,101,109,165,141,155,112
"10 Blekinge län","diesel",116,107,119,170,154,126,111,101,151,151,155,134
"10 Blekinge län","el",0,1,0,0,0,0,0,0,1,1,0,1
"10 Blekinge län","elhybrid",2,1,0,2,2,0,2,2,1,5,2,1
"10 Blekinge län","laddhybrid",2,4,0,0,1,1,0,0,0,0,0,0
"10 Blekinge län","etanol/etanol flexifuel",4,3,7,12,10,5,7,39,32,31,12,5
"10 Blekinge län","gas/gas flexifuel",8,4,4,5,0,3,1,2,3,7,7,0
"10 Blekinge län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"12 Skåne län","bensin",862,943,1293,1401,1424,1263,1276,1456,1469,1588,1448,1314
"12 Skåne län","diesel",1402,1467,1794,1975,1775,1694,1449,1728,1863,1893,1842,2149
"12 Skåne län","el",3,6,1,1,1,5,1,2,1,4,6,8
"12 Skåne län","elhybrid",36,35,57,41,58,39,33,92,65,89,79,52
"12 Skåne län","laddhybrid",10,26,7,4,5,4,6,4,3,3,11,19
"12 Skåne län","etanol/etanol flexifuel",15,12,12,13,10,9,28,39,13,14,26,12
"12 Skåne län","gas/gas flexifuel",68,64,91,81,83,52,40,64,62,42,47,75
"12 Skåne län","övriga bränslen",1,0,1,1,0,1,0,1,0,0,3,1
"13 Hallands län","bensin",202,236,377,363,343,343,420,344,406,422,316,354
"13 Hallands län","diesel",287,380,488,515,482,464,337,380,371,437,450,544
"13 Hallands län","el",0,0,0,0,0,1,0,1,0,0,0,6
"13 Hallands län","elhybrid",5,7,7,11,11,3,11,13,10,25,6,10
"13 Hallands län","laddhybrid",6,2,3,0,3,1,3,0,2,3,1,0
"13 Hallands län","etanol/etanol flexifuel",7,2,2,1,9,2,22,6,8,8,8,5
"13 Hallands län","gas/gas flexifuel",3,11,6,7,6,4,1,16,11,6,16,11
"13 Hallands län","övriga bränslen",0,0,0,1,0,0,0,0,0,0,0,0
"14 Västra Götalands län","bensin",1080,1250,1493,1690,1828,1724,1377,1701,1855,1962,1987,1780
"14 Västra Götalands län","diesel",1721,1924,2550,2692,2562,2772,1942,2142,2230,2542,2387,2924
"14 Västra Götalands län","el",19,9,18,7,4,12,0,3,21,49,12,27
"14 Västra Götalands län","elhybrid",63,63,63,54,89,73,68,77,100,81,86,52
"14 Västra Götalands län","laddhybrid",37,52,36,10,4,14,14,11,10,8,12,11
"14 Västra Götalands län","etanol/etanol flexifuel",17,32,15,11,22,39,32,44,53,84,71,41
"14 Västra Götalands län","gas/gas flexifuel",57,100,68,62,113,79,29,69,63,74,43,63
"14 Västra Götalands län","övriga bränslen",0,1,0,0,1,0,1,0,0,1,1,2
"15 f.d. Älvsborgs län","bensin",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","diesel",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","el",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","gas/gas flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"15 f.d. Älvsborgs län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","bensin",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","diesel",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","el",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","gas/gas flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"16 f.d. Skaraborgs län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"17 Värmlands län","bensin",117,136,167,207,253,213,198,246,257,221,189,216
"17 Värmlands län","diesel",304,253,313,377,334,353,269,370,415,352,360,470
"17 Värmlands län","el",0,0,0,0,0,0,0,0,0,1,1,0
"17 Värmlands län","elhybrid",9,3,3,6,8,9,5,9,6,6,6,7
"17 Värmlands län","laddhybrid",1,4,1,2,2,1,2,0,0,2,7,0
"17 Värmlands län","etanol/etanol flexifuel",4,9,2,2,4,1,3,6,14,13,1,1
"17 Värmlands län","gas/gas flexifuel",1,1,5,1,3,2,2,3,1,3,0,2
"17 Värmlands län","övriga bränslen",0,0,0,1,0,1,0,0,0,0,2,0
"18 Örebro län","bensin",176,189,262,242,333,264,229,230,214,293,248,199
"18 Örebro län","diesel",262,324,346,466,434,403,332,447,401,415,396,506
"18 Örebro län","el",0,0,1,0,0,0,0,0,2,0,1,0
"18 Örebro län","elhybrid",14,7,8,5,7,8,11,12,15,14,8,8
