"region","drivmedel","2008M01","2008M02","2008M03","2008M04","2008M05","2008M06","2008M07","2008M08","2008M09","2008M10","2008M11","2008M12"
"00 Riket","bensin",8977,9634,11105,13284,12672,10656,8504,8558,9584,8668,6736,6137
"00 Riket","diesel",5292,8221,9180,11334,10458,9024,6673,6923,8407,8275,6504,6874
"00 Riket","el",0,0,0,0,1,0,0,0,0,0,0,0
"00 Riket","elhybrid",307,363,316,451,435,340,297,352,376,307,279,423
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",4677,4595,4317,5032,5477,5948,3680,3940,6080,6431,4565,4282
"00 Riket","gas/gas flexifuel",90,85,62,97,85,74,47,79,187,184,192,205
"00 Riket","övriga bränslen",0,0,0,0,1,1,2,0,0,1,0,1
"01 Stockholms län","bensin",1774,2032,2297,2829,2797,2383,1668,1988,2009,2001,1650,1469
"01 Stockholms län","diesel",1570,2083,2564,2943,2550,2296,1525,1829,2357,2414,1977,1916
"01 Stockholms län","el",0,0,0,0,1,0,0,0,0,0,0,0
"01 Stockholms län","elhybrid",144,195,157,202,224,159,143,186,187,174,182,284
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",1774,1840,1591,1796,1855,2041,1200,1390,2170,2443,1785,2004
"01 Stockholms län","gas/gas flexifuel",47,21,22,32,20,19,10,24,56,64,74,87
"01 Stockholms län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",242,315,356,419,380,290,264,256,328,285,211,195
"03 Uppsala län","diesel",168,323,283,444,377,266,231,219,232,289,207,260
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",9,10,5,13,7,9,8,9,11,6,3,8
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",91,127,123,123,126,191,128,106,150,129,116,110
"03 Uppsala län","gas/gas flexifuel",0,1,0,2,0,1,0,0,2,6,2,2
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",246,260,315,366,343,267,224,203,260,253,167,149
"04 Södermanlands län","diesel",129,181,216,292,252,196,158,154,145,152,127,139
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",7,6,9,21,11,13,8,11,8,8,4,3
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",94,82,86,97,113,94,67,73,126,120,102,66
"04 Södermanlands län","gas/gas flexifuel",2,0,3,6,7,5,6,3,30,1,5,4
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",322,357,411,563,464,416,321,321,357,353,266,228
"05 Östergötlands län","diesel",182,321,354,433,415,386,268,284,340,289,214,263
"05 Östergötlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","elhybrid",9,15,7,15,14,10,11,13,13,10,6,12
"05 Östergötlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
