"region","drivmedel","2003M01","2003M02","2003M03","2003M04","2003M05","2003M06","2003M07","2003M08","2003M09","2003M10","2003M11","2003M12"
"00 Riket","bensin",20656,20302,26424,25713,27742,27149,20655,19874,24239,27218,21768,21397
"00 Riket","diesel",1845,1986,2314,1850,1891,1862,1413,1541,1844,2151,1958,2267
"00 Riket","el",0,0,0,0,1,0,0,0,0,0,0,0
"00 Riket","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","gas/gas flexifuel",70,135,86,49,46,54,27,47,54,62,170,175
"00 Riket","övriga bränslen",0,0,1,3,1,1,3,8,11,0,5,0
"01 Stockholms län","bensin",4785,4793,5720,6026,6519,6816,4456,4249,5573,5697,4847,4507
"01 Stockholms län","diesel",372,469,444,359,415,388,235,310,434,477,421,532
"01 Stockholms län","el",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","gas/gas flexifuel",47,110,48,18,17,7,5,20,35,35,69,83
"01 Stockholms län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",712,672,876,871,878,915,670,607,783,860,705,739
"03 Uppsala län","diesel",67,76,83,61,53,62,39,48,73,84,66,87
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","gas/gas flexifuel",0,0,0,1,0,0,0,0,0,0,0,0
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",568,567,738,767,813,802,614,583,680,758,631,566
"04 Södermanlands län","diesel",62,35,56,49,31,47,35,39,40,70,49,60
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","gas/gas flexifuel",1,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",782,880,1105,988,1146,1094,806,917,986,1121,905,923
"05 Östergötlands län","diesel",53,75,94,84,65,89,61,43,49,62,65,62
