"region","drivmedel","2009M01","2009M02","2009M03","2009M04","2009M05","2009M06","2009M07","2009M08","2009M09","2009M10","2009M11","2009M12"
"00 Riket","bensin",4872,6244,7636,7931,7646,9334,6459,6218,7703,8674,8235,6974
"00 Riket","diesel",4852,5911,7125,7527,6748,9030,6340,6583,8603,9984,9021,9459
"00 Riket","el",2,2,6,0,5,3,2,3,1,2,2,1
"00 Riket","elhybrid",148,127,143,184,155,261,148,279,514,456,358,312
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",2378,3069,3997,3854,4663,4861,2341,2915,3220,3052,3064,2752
"00 Riket","gas/gas flexifuel",119,154,317,486,541,651,623,725,749,642,503,615
"00 Riket","övriga bränslen",0,1,1,1,2,1,0,0,3,1,2,2
"01 Stockholms län","bensin",1241,1240,1682,1753,1670,2003,1512,1476,1675,2079,2050,1540
"01 Stockholms län","diesel",1507,1646,1935,2287,1773,2185,1395,1716,2359,2572,2361,2511
"01 Stockholms län","el",0,0,0,0,0,0,0,1,0,0,0,1
"01 Stockholms län","elhybrid",72,65,62,87,85,81,78,93,200,161,154,140
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",723,1011,1367,1144,1631,1235,990,834,892,997,1002,958
"01 Stockholms län","gas/gas flexifuel",24,50,113,137,138,245,186,244,248,231,144,181
"01 Stockholms län","övriga bränslen",0,0,0,0,0,0,0,0,2,1,0,0
"03 Uppsala län","bensin",186,277,250,282,277,349,248,192,234,333,290,248
"03 Uppsala län","diesel",167,209,263,240,287,395,310,273,243,353,359,395
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",2,1,5,8,3,3,0,6,9,18,8,4
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",81,97,78,106,105,161,67,85,130,88,118,103
"03 Uppsala län","gas/gas flexifuel",0,0,6,9,13,14,11,24,16,20,8,19
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",109,146,174,202,183,264,151,177,209,215,234,203
"04 Södermanlands län","diesel",93,121,138,167,151,205,132,155,161,216,227,229
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,1,0
"04 Södermanlands län","elhybrid",2,2,11,3,2,3,0,9,12,8,12,7
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
