"region","drivmedel","2002M01","2002M02","2002M03","2002M04","2002M05","2002M06","2002M07","2002M08","2002M09","2002M10","2002M11","2002M12"
"00 Riket","bensin",17968,19756,24725,25563,26932,24835,19155,20749,23649,25305,23176,21173
"00 Riket","diesel",1333,1502,1789,1774,1806,1591,1340,1387,1588,1951,1966,1960
"00 Riket","el",0,1,0,0,0,0,0,1,0,0,0,0
"00 Riket","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","gas/gas flexifuel",2,14,51,85,129,103,47,115,56,63,155,121
"00 Riket","övriga bränslen",0,1,0,0,2,0,0,0,0,0,0,0
"01 Stockholms län","bensin",4557,4632,5951,6394,6950,6302,4548,5093,5304,5628,5307,5253
"01 Stockholms län","diesel",269,279,306,372,320,256,212,249,295,431,436,391
"01 Stockholms län","el",0,0,0,0,0,0,0,1,0,0,0,0
"01 Stockholms län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","gas/gas flexifuel",0,2,32,35,39,64,28,70,26,33,115,92
"01 Stockholms län","övriga bränslen",0,1,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",574,635,859,879,880,847,641,659,776,824,782,742
"03 Uppsala län","diesel",54,35,56,55,54,61,42,51,71,73,67,69
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","gas/gas flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
