"region","produktionssätt","bränsletyp","2009","2010","2011","2012","2013"
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion",15822643,18905397,16881147,15551721,14922809
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",1070912,..,915671,..,514038
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",2986870,..,..,2485721,..
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",3803633,5645114,5132547,3388277,3188282
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",4915124,5102581,4557074,..,..
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)",6605419,9093192,9511062,..,8224739
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)",..,36175,34259,27042,18612
"00 Riket","kraftvärmeverk + industriellt mottryck","summa produktionssätt",..,24459767,..,20359963,19379608
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",50724174,56263599,..,62275094,64490134
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",413902,720304,119199,196271,76127
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,161350403,..,174416173,178359369
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,..,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",413902,162070707,162546396,174612444,178435496
"00 Riket","vattenkraft","elproduktion",65163738,66759779,66679146,78468555,61010920
"00 Riket","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","flytande (förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","fast (förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","gas (förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","summa produktionssätt",0,0,0,0,0
"00 Riket","vindkraft","elproduktion",..,..,..,7165230,9842204
"00 Riket","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"00 Riket","vindkraft","fast (icke förnybara)",..,..,..,0,0
"00 Riket","vindkraft","gas (icke förnybara)",..,..,..,0,0
"00 Riket","vindkraft","flytande (förnybara)",..,..,..,0,0
"00 Riket","vindkraft","fast (förnybara)",..,..,..,0,0
"00 Riket","vindkraft","gas (förnybara)",..,..,..,0,0
"00 Riket","vindkraft","summa produktionssätt",..,..,..,0,0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","elproduktion",..,2278556,2018014,1800431,1793606
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",..,341904,96653,64484,38103
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",911906,903617,839291,656938,746881
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",241122,45909,102,7962,18484
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,1290812,1447443,1318621,1255787
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",1844708,2582243,2383489,2048005,2059254
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",2328,4386,5475,5616,6076
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",9626,17145,3165,4088,4405
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",9626,17145,3165,4088,4405
"01 Stockholms län","vattenkraft","elproduktion",0,0,0,1744,794
"01 Stockholms län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"01 Stockholms län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"01 Stockholms län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"01 Stockholms län","vattenkraft","fast (förnybara)",0,0,0,0,0
"01 Stockholms län","vattenkraft","gas (förnybara)",0,0,0,0,0
"01 Stockholms län","vattenkraft","summa produktionssätt",0,0,0,0,0
"01 Stockholms län","vindkraft","elproduktion",..,..,..,3079,10889
"01 Stockholms län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"01 Stockholms län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"01 Stockholms län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"01 Stockholms län","vindkraft","flytande (förnybara)",..,..,..,0,0
"01 Stockholms län","vindkraft","fast (förnybara)",..,..,..,0,0
"01 Stockholms län","vindkraft","gas (förnybara)",..,..,..,0,0
"01 Stockholms län","vindkraft","summa produktionssätt",..,..,..,0,0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","elproduktion",..,784054,632686,624751,556102
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",..,23381,15645,19940,11944
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",..,329055,248255,162366,193880
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",383267,387382,357363,407586,291549
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,187676,156726,162095,154686
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",961,410,1967,2289,2396
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",764394,927904,779956,754276,654455
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",21911456,19278385,23721476,24651002,25370340
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,1872,0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,55791143,62517600,64539929,66424933
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,55791143,62517600,64541801,66424933
"03 Uppsala län","vattenkraft","elproduktion",582702,..,..,..,..
"03 Uppsala län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"03 Uppsala län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"03 Uppsala län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"03 Uppsala län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"03 Uppsala län","vattenkraft","fast (förnybara)",0,0,0,0,0
"03 Uppsala län","vattenkraft","gas (förnybara)",0,0,0,0,0
"03 Uppsala län","vattenkraft","summa produktionssätt",0,0,0,0,0
"03 Uppsala län","vindkraft","elproduktion",..,..,..,..,..
"03 Uppsala län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"03 Uppsala län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"03 Uppsala län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"03 Uppsala län","vindkraft","flytande (förnybara)",..,..,..,0,0
"03 Uppsala län","vindkraft","fast (förnybara)",..,..,..,0,0
"03 Uppsala län","vindkraft","gas (förnybara)",..,..,..,0,0
"03 Uppsala län","vindkraft","summa produktionssätt",..,..,..,0,0
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","elproduktion",..,562969,499143,373874,386494
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",..,58753,30213,16004,29617
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",..,0,0,8320,24842
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",194996,908692,496837,152872,170187
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,452349,486485,373026,368620
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",..,1150,961,5873,3861
"04 Södermanlands län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",579775,1420944,1014495,556094,597128
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"04 Södermanlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"04 Södermanlands län","vattenkraft","elproduktion",..,..,..,40930,36434
"04 Södermanlands län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"04 Södermanlands län","vattenkraft","fast (förnybara)",0,0,0,0,0
"04 Södermanlands län","vattenkraft","gas (förnybara)",0,0,0,0,0
"04 Södermanlands län","vattenkraft","summa produktionssätt",0,0,0,0,0
"04 Södermanlands län","vindkraft","elproduktion",..,..,..,..,9240
"04 Södermanlands län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"04 Södermanlands län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"04 Södermanlands län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"04 Södermanlands län","vindkraft","flytande (förnybara)",..,..,..,0,0
"04 Södermanlands län","vindkraft","fast (förnybara)",..,..,..,0,0
"04 Södermanlands län","vindkraft","gas (förnybara)",..,..,..,0,0
"04 Södermanlands län","vindkraft","summa produktionssätt",..,..,..,0,0
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","elproduktion",892218,922035,871684,870716,752518
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",134387,164369,95974,52130,30668
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",227973,240073,192410,308870,345000
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",..,184116,195851,233304,149644
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,566350,532835,585538,506258
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"05 Östergötlands län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",1194903,1154909,1017070,1179842,1031570
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",2067,2405,1186,794,979
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",8527,9198,5801,3214,3890
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"05 Östergötlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",8527,9198,5801,3214,3890
"05 Östergötlands län","vattenkraft","elproduktion",587738,1183031,1096409,..,..
"05 Östergötlands län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"05 Östergötlands län","vattenkraft","fast (förnybara)",0,0,0,0,0
"05 Östergötlands län","vattenkraft","gas (förnybara)",0,0,0,0,0
"05 Östergötlands län","vattenkraft","summa produktionssätt",0,0,0,0,0
"05 Östergötlands län","vindkraft","elproduktion",..,..,..,353799,..
"05 Östergötlands län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"05 Östergötlands län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"05 Östergötlands län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"05 Östergötlands län","vindkraft","flytande (förnybara)",..,..,..,0,0
"05 Östergötlands län","vindkraft","fast (förnybara)",..,..,..,0,0
"05 Östergötlands län","vindkraft","gas (förnybara)",..,..,..,0,0
"05 Östergötlands län","vindkraft","summa produktionssätt",..,..,..,0,0
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","elproduktion",..,381789,185417,155580,184143
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",3696,5124,2966,1711,290
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",57674,162225,68872,54314,75992
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,233221,128023,108481,125469
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",4635,8849,4575,838,316
"06 Jönköpings län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",..,409420,204435,165344,202067
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,1259,690
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"06 Jönköpings län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"06 Jönköpings län","vattenkraft","elproduktion",..,..,238234,145840,86542
"06 Jönköpings län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"06 Jönköpings län","vattenkraft","fast (förnybara)",0,0,0,0,0
"06 Jönköpings län","vattenkraft","gas (förnybara)",0,0,0,0,0
"06 Jönköpings län","vattenkraft","summa produktionssätt",0,0,0,0,0
"06 Jönköpings län","vindkraft","elproduktion",..,..,..,199438,530418
"06 Jönköpings län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"06 Jönköpings län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"06 Jönköpings län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"06 Jönköpings län","vindkraft","flytande (förnybara)",..,..,..,0,0
"06 Jönköpings län","vindkraft","fast (förnybara)",..,..,..,0,0
"06 Jönköpings län","vindkraft","gas (förnybara)",..,..,..,0,0
"06 Jönköpings län","vindkraft","summa produktionssätt",..,..,..,0,0
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","elproduktion",221233,257706,244101,205597,164587
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",9084,22892,5176,7347,8423
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",14746,14655,14036,15306,9608
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",207475,234396,255047,201210,154734
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"07 Kronobergs län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",231305,271944,274259,223862,172764
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"07 Kronobergs län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",0,0,0,0,0
"07 Kronobergs län","vattenkraft","elproduktion",254209,..,346078,..,..
"07 Kronobergs län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"07 Kronobergs län","vattenkraft","fast (förnybara)",0,0,0,0,0
"07 Kronobergs län","vattenkraft","gas (förnybara)",0,0,0,0,0
"07 Kronobergs län","vattenkraft","summa produktionssätt",0,0,0,0,0
"07 Kronobergs län","vindkraft","elproduktion",..,..,..,..,..
"07 Kronobergs län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"07 Kronobergs län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"07 Kronobergs län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"07 Kronobergs län","vindkraft","flytande (förnybara)",..,..,..,0,0
"07 Kronobergs län","vindkraft","fast (förnybara)",..,..,..,0,0
"07 Kronobergs län","vindkraft","gas (förnybara)",..,..,..,0,0
"07 Kronobergs län","vindkraft","summa produktionssätt",..,..,..,0,0
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","elproduktion",..,915290,884952,861057,931149
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",..,94462,63388,39743,..
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,12008,10410,5614,0
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",802447,992737,902375,754841,969633
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",44625,454654,762974,768703,770190
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"08 Kalmar län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",..,1553861,1739146,1568901,..
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",8649758,12240855,15684062,12614043,11885912
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",6637,7644,7991,14178,10424
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,34649199,44182033,38630502,33687914
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"08 Kalmar län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",6637,34656843,44190025,38644681,33698338
"08 Kalmar län","vattenkraft","elproduktion",48067,77944,..,85418,69759
"08 Kalmar län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"08 Kalmar län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"08 Kalmar län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"08 Kalmar län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"08 Kalmar län","vattenkraft","fast (förnybara)",0,0,0,0,0
"08 Kalmar län","vattenkraft","gas (förnybara)",0,0,0,0,0
"08 Kalmar län","vattenkraft","summa produktionssätt",0,0,0,0,0
"08 Kalmar län","vindkraft","elproduktion",..,..,..,473857,658021
"08 Kalmar län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"08 Kalmar län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"08 Kalmar län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"08 Kalmar län","vindkraft","flytande (förnybara)",..,..,..,0,0
"08 Kalmar län","vindkraft","fast (förnybara)",..,..,..,0,0
"08 Kalmar län","vindkraft","gas (förnybara)",..,..,..,0,0
"08 Kalmar län","vindkraft","summa produktionssätt",..,..,..,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","elproduktion",0,0,393,0,481
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",0,0,0,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,0,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",0,0,0,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",0,0,0,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"09 Gotlands län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",0,0,0,0,0
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",..,886,172,418,372
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",..,4007,935,3035,2147
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,0,0,0,0
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,0,0,0
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"09 Gotlands län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",..,4007,935,3035,2147
"09 Gotlands län","vattenkraft","elproduktion",1606,12352,9935,0,0
"09 Gotlands län","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"09 Gotlands län","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"09 Gotlands län","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"09 Gotlands län","vattenkraft","flytande (förnybara)",0,0,0,0,0
"09 Gotlands län","vattenkraft","fast (förnybara)",0,0,0,0,0
"09 Gotlands län","vattenkraft","gas (förnybara)",0,0,0,0,0
"09 Gotlands län","vattenkraft","summa produktionssätt",0,0,0,0,0
"09 Gotlands län","vindkraft","elproduktion",..,..,..,414019,382381
"09 Gotlands län","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"09 Gotlands län","vindkraft","fast (icke förnybara)",..,..,..,0,0
"09 Gotlands län","vindkraft","gas (icke förnybara)",..,..,..,0,0
"09 Gotlands län","vindkraft","flytande (förnybara)",..,..,..,0,0
"09 Gotlands län","vindkraft","fast (förnybara)",..,..,..,0,0
"09 Gotlands län","vindkraft","gas (förnybara)",..,..,..,0,0
"09 Gotlands län","vindkraft","summa produktionssätt",..,..,..,0,0
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","elproduktion",..,338940,323672,340675,388870
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",7879,5372,28917,38429,0
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",0,0,0,0,0
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",0,0,434,0,0
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",..,486690,483253,345515,318087
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","fast (förnybara)",..,36328,42116,55656,55157
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","gas (förnybara)",0,0,0,0,0
"10 Blekinge län","kraftvärmeverk + industriellt mottryck","summa produktionssätt",583179,528390,554720,439601,373244
"10 Blekinge län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",93936,201338,22481,29717,8046
