"region","drivmedel","2007M01","2007M02","2007M03","2007M04","2007M05","2007M06","2007M07","2007M08","2007M09","2007M10","2007M11","2007M12"
"00 Riket","bensin",13521,13479,19340,19362,20085,17837,13520,14772,14276,15476,12810,9823
"00 Riket","diesel",6965,6615,8418,8269,9492,8877,6979,8630,8803,11332,12240,16944
"00 Riket","el",0,0,0,0,0,0,0,1,0,0,0,1
"00 Riket","elhybrid",287,243,280,286,351,313,256,319,255,243,261,300
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",1891,1965,2361,2464,3429,3155,2508,2229,2756,4183,4251,4321
"00 Riket","gas/gas flexifuel",200,169,200,152,168,247,136,111,96,80,119,81
"00 Riket","övriga bränslen",1,0,0,0,1,1,0,1,0,1,0,0
"01 Stockholms län","bensin",2871,3011,3954,4584,4751,4320,3129,3262,3482,3274,2780,2291
"01 Stockholms län","diesel",1610,1498,1834,1864,2244,2024,1381,1891,1956,2720,2906,3679
"01 Stockholms län","el",0,0,0,0,0,0,0,1,0,0,0,1
"01 Stockholms län","elhybrid",98,87,126,120,136,152,134,162,129,133,135,138
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",604,645,718,739,1009,1053,759,693,814,1323,1300,1428
"01 Stockholms län","gas/gas flexifuel",64,53,67,61,58,84,45,27,7,19,50,21
"01 Stockholms län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",431,411,582,615,594,464,399,428,410,450,360,264
"03 Uppsala län","diesel",273,262,304,312,299,288,234,341,271,407,396,540
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",26,4,6,2,3,6,10,6,7,4,13,6
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",84,103,103,88,127,97,93,65,87,102,122,83
"03 Uppsala län","gas/gas flexifuel",3,3,0,0,1,2,1,0,0,1,1,1
"03 Uppsala län","övriga bränslen",1,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",331,332,523,494,475,413,332,366,322,389,322,249
"04 Södermanlands län","diesel",178,161,212,221,239,230,193,183,223,299,310,629
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",7,9,9,9,7,10,2,3,3,4,6,10
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",38,51,75,42,55,51,57,52,77,92,82,80
"04 Södermanlands län","gas/gas flexifuel",1,2,10,7,3,6,2,3,3,3,1,0
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,1,0,0,0,0,0,0
"05 Östergötlands län","bensin",490,495,771,718,779,695,542,584,558,615,487,440
"05 Östergötlands län","diesel",285,274,362,396,400,419,320,405,371,482,436,734
"05 Östergötlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","elhybrid",16,8,14,4,11,4,6,6,9,5,5,13
"05 Östergötlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","etanol/etanol flexifuel",54,59,104,87,120,132,105,75,136,158,173,157
"05 Östergötlands län","gas/gas flexifuel",7,7,20,7,15,9,3,4,3,7,4,11
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","bensin",667,608,836,824,810,734,539,661,641,697,478,345
"06 Jönköpings län","diesel",324,347,393,391,416,395,295,343,470,535,502,825
"06 Jönköpings län","el",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","elhybrid",12,13,8,15,15,12,7,11,9,9,9,10
"06 Jönköpings län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","etanol/etanol flexifuel",57,59,65,98,110,96,96,83,166,154,153,145
"06 Jönköpings län","gas/gas flexifuel",15,7,9,4,4,3,5,2,1,2,5,3
"06 Jönköpings län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",319,273,445,381,387,377,270,298,244,328,225,174
"07 Kronobergs län","diesel",172,172,179,160,238,205,132,187,185,252,278,345
"07 Kronobergs län","el",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","elhybrid",1,3,2,2,0,4,3,1,0,2,0,1
