"region","drivmedel","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12"
"00 Riket","bensin",6793,7706,10773,10844,10836,10831,8564,9482,10700,10710,9652,9607
"00 Riket","diesel",12357,13743,16948,17480,17613,18172,12920,14172,15352,16934,15746,16562
"00 Riket","el",67,59,117,65,73,91,144,286,78,86,63,137
"00 Riket","elhybrid",492,462,627,495,520,626,419,609,583,702,692,826
"00 Riket","laddhybrid",62,138,300,390,307,500,246,270,266,456,204,272
"00 Riket","etanol/etanol flexifuel",186,203,372,283,187,218,152,250,284,171,221,164
"00 Riket","gas/gas flexifuel",376,337,381,356,361,394,332,528,504,523,418,511
"00 Riket","övriga bränslen",1,2,2,4,2,1,8,2,4,4,3,2
"01 Stockholms län","bensin",1497,1704,2533,2405,2327,2476,1960,2099,2477,2257,2138,2376
"01 Stockholms län","diesel",4087,4006,5184,5268,5232,5151,3452,3899,4066,4912,4681,4810
"01 Stockholms län","el",36,16,37,34,29,33,51,145,39,24,19,68
"01 Stockholms län","elhybrid",161,174,258,168,173,207,168,195,203,247,224,268
"01 Stockholms län","laddhybrid",20,55,164,179,151,230,129,141,144,295,88,147
"01 Stockholms län","etanol/etanol flexifuel",35,39,187,47,36,70,84,54,72,22,21,34
"01 Stockholms län","gas/gas flexifuel",138,123,135,133,106,127,97,158,160,187,154,228
"01 Stockholms län","övriga bränslen",0,0,0,1,1,0,1,1,0,1,2,0
"03 Uppsala län","bensin",229,239,327,430,384,327,263,335,319,333,283,328
"03 Uppsala län","diesel",451,452,494,614,565,655,414,484,552,523,556,562
"03 Uppsala län","el",2,1,3,2,3,4,5,4,0,2,1,6
"03 Uppsala län","elhybrid",23,13,22,11,18,20,16,19,21,29,22,24
"03 Uppsala län","laddhybrid",2,7,12,10,14,15,8,13,13,10,20,13
"03 Uppsala län","etanol/etanol flexifuel",2,6,9,10,15,16,4,11,5,5,12,13
"03 Uppsala län","gas/gas flexifuel",7,9,10,5,8,4,6,14,8,9,7,7
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,1,0,1,0,0,0
"04 Södermanlands län","bensin",190,231,285,316,312,332,228,242,246,328,265,226
"04 Södermanlands län","diesel",220,312,366,378,382,440,354,389,387,362,383,316
"04 Södermanlands län","el",0,1,4,5,2,1,0,1,0,2,3,2
"04 Södermanlands län","elhybrid",6,6,13,11,14,18,20,13,10,18,21,21
"04 Södermanlands län","laddhybrid",1,1,6,3,4,5,3,2,0,4,0,0
"04 Södermanlands län","etanol/etanol flexifuel",5,1,5,1,3,4,3,2,0,7,0,1
"04 Södermanlands län","gas/gas flexifuel",3,4,6,13,3,6,3,1,7,13,7,6
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,1
"05 Östergötlands län","bensin",322,404,452,485,508,437,367,465,417,433,395,386
"05 Östergötlands län","diesel",455,515,555,660,701,685,460,538,663,596,547,618
"05 Östergötlands län","el",0,3,1,0,3,4,1,2,4,3,0,5
"05 Östergötlands län","elhybrid",28,17,29,24,24,49,20,20,36,30,40,73
"05 Östergötlands län","laddhybrid",2,2,16,13,6,12,3,5,5,3,3,6
"05 Östergötlands län","etanol/etanol flexifuel",27,24,17,11,5,6,1,16,11,14,3,2
"05 Östergötlands län","gas/gas flexifuel",27,11,14,20,40,48,17,25,19,26,14,23
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,1,0,0,0,0,0
"06 Jönköpings län","bensin",349,289,417,435,540,456,370,454,484,597,403,343
"06 Jönköpings län","diesel",406,464,648,706,710,762,502,527,654,627,585,578
"06 Jönköpings län","el",1,1,3,1,0,2,4,8,1,2,1,12
"06 Jönköpings län","elhybrid",15,7,7,15,8,11,10,13,7,20,14,18
"06 Jönköpings län","laddhybrid",1,10,16,32,16,33,20,17,2,13,18,4
"06 Jönköpings län","etanol/etanol flexifuel",13,3,7,20,1,4,1,9,16,7,7,8
"06 Jönköpings län","gas/gas flexifuel",5,8,10,11,5,11,12,7,19,8,5,15
"06 Jönköpings län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",172,178,245,252,226,246,189,222,251,214,206,181
