"region","drivmedel","2006M01","2006M02","2006M03","2006M04","2006M05","2006M06","2006M07","2006M08","2006M09","2006M10","2006M11","2006M12"
"00 Riket","bensin",13617,14687,19609,21439,24117,23148,15593,17504,19129,18271,17054,15834
"00 Riket","diesel",3521,3444,4764,4598,5168,5340,4089,4619,5438,6176,7046,7000
"00 Riket","el",2,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","elhybrid",216,163,214,239,260,307,224,277,293,166,256,236
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",1646,1798,3165,2105,2481,2469,1686,2086,2061,1819,2465,2337
"00 Riket","gas/gas flexifuel",168,234,254,370,530,398,198,181,319,361,348,265
"00 Riket","övriga bränslen",3,0,1,0,0,0,1,0,2,3,0,0
"01 Stockholms län","bensin",2824,3431,4291,4872,5819,5648,3450,4087,4412,3999,3839,3621
"01 Stockholms län","diesel",884,895,1022,1059,1160,1059,783,1060,1263,1472,1735,1659
"01 Stockholms län","el",1,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","elhybrid",101,87,131,102,95,118,72,108,118,73,107,98
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",620,752,1154,911,1004,817,564,514,602,609,772,695
"01 Stockholms län","gas/gas flexifuel",66,103,117,161,275,209,82,68,182,216,160,75
"01 Stockholms län","övriga bränslen",1,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",428,457,620,658,757,631,478,623,579,589,516,540
"03 Uppsala län","diesel",133,125,162,173,173,186,149,165,196,231,265,249
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",6,12,4,7,7,12,2,6,15,4,13,7
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",67,76,172,78,90,85,59,117,71,73,106,141
"03 Uppsala län","gas/gas flexifuel",2,6,3,7,11,10,1,6,2,1,3,1
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",321,349,487,502,567,603,419,426,464,522,443,410
"04 Södermanlands län","diesel",70,76,113,111,112,154,111,128,94,135,163,150
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",18,10,6,5,10,8,8,5,8,8,8,6
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",37,68,49,35,47,43,32,37,42,22,50,67
"04 Södermanlands län","gas/gas flexifuel",1,3,4,3,12,5,11,3,14,4,14,7
"04 Södermanlands län","övriga bränslen",1,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",561,577,792,882,1011,897,651,695,774,727,685,579
"05 Östergötlands län","diesel",124,139,202,175,199,243,177,194,201,243,252,282
"05 Östergötlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","elhybrid",7,4,5,14,7,18,13,9,21,4,9,9
"05 Östergötlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","etanol/etanol flexifuel",66,62,124,82,109,112,67,103,102,58,143,76
"05 Östergötlands län","gas/gas flexifuel",21,11,10,13,13,9,9,12,20,8,12,17
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","bensin",790,678,739,918,1009,829,658,743,782,756,689,536
"06 Jönköpings län","diesel",148,142,219,208,242,243,172,201,231,305,347,291
"06 Jönköpings län","el",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","elhybrid",9,3,8,20,18,15,15,9,16,10,10,5
"06 Jönköpings län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","etanol/etanol flexifuel",90,72,106,74,78,80,86,76,71,51,97,79
"06 Jönköpings län","gas/gas flexifuel",4,6,6,21,19,4,14,5,11,4,14,5
"06 Jönköpings län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",324,274,413,433,511,464,347,363,415,412,326,302
"07 Kronobergs län","diesel",75,59,90,103,132,132,111,109,130,152,154,144
"07 Kronobergs län","el",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","elhybrid",0,0,3,3,1,3,1,2,1,1,1,3
"07 Kronobergs län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","etanol/etanol flexifuel",26,32,44,35,47,32,29,43,42,31,33,50
"07 Kronobergs län","gas/gas flexifuel",0,2,0,2,0,2,1,1,0,1,1,0
"07 Kronobergs län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","bensin",327,346,492,584,594,550,415,351,542,443,409,326
"08 Kalmar län","diesel",57,78,96,102,130,126,81,103,141,160,165,168
"08 Kalmar län","el",0,0,0,0,0,0,0,0,0,0,0,0
