"region","drivmedel","2004M01","2004M02","2004M03","2004M04","2004M05","2004M06","2004M07","2004M08","2004M09","2004M10","2004M11","2004M12"
"00 Riket","bensin",17379,18884,27410,28082,26867,30243,19408,19811,24062,24161,24247,25398
"00 Riket","diesel",1712,1886,2256,2206,1969,2209,1470,1723,2266,2212,2352,2506
"00 Riket","el",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","gas/gas flexifuel",43,74,76,62,78,86,6,36,28,79,103,135
"00 Riket","övriga bränslen",0,0,1,1,1,1,4,0,1,1,1,0
"01 Stockholms län","bensin",3807,4402,6040,6166,6644,7124,4386,4010,5457,5619,5475,6702
"01 Stockholms län","diesel",381,449,520,472,454,482,277,354,579,502,612,630
"01 Stockholms län","el",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","gas/gas flexifuel",17,50,37,25,52,56,1,3,7,33,66,97
"01 Stockholms län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",523,541,868,972,865,931,648,645,902,720,721,805
"03 Uppsala län","diesel",65,72,71,87,63,69,48,62,78,69,83,80
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","gas/gas flexifuel",1,0,0,0,0,0,2,0,1,0,1,0
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",422,535,851,760,725,781,550,506,630,608,655,628
"04 Södermanlands län","diesel",31,42,56,44,43,43,24,38,54,46,51,59
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","gas/gas flexifuel",0,1,0,0,0,0,0,0,2,0,0,4
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",776,772,1102,1218,1111,1200,749,852,979,1036,928,938
"05 Östergötlands län","diesel",45,61,83,89,89,72,46,68,79,77,76,97
"05 Östergötlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","gas/gas flexifuel",2,3,1,2,5,11,2,3,3,3,4,7
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","bensin",874,868,1125,1116,1087,1132,740,778,977,1025,907,957
"06 Jönköpings län","diesel",75,96,137,122,78,109,64,76,99,95,97,93
"06 Jönköpings län","el",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","gas/gas flexifuel",2,1,3,3,3,0,1,1,4,0,0,0
"06 Jönköpings län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",370,382,536,649,525,513,368,415,487,542,517,453
"07 Kronobergs län","diesel",36,31,33,54,44,36,32,31,40,37,52,64
"07 Kronobergs län","el",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","gas/gas flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","bensin",456,417,672,722,683,603,476,480,599,511,515,562
"08 Kalmar län","diesel",42,51,56,58,40,62,30,48,56,57,60,45
"08 Kalmar län","el",0,0,0,0,0,0,0,0,0,0,0,0
