"region","drivmedel","2011M01","2011M02","2011M03","2011M04","2011M05","2011M06","2011M07","2011M08","2011M09","2011M10","2011M11","2011M12"
"00 Riket","bensin",6835,7128,10963,10748,11277,9829,7294,8674,9039,8222,8424,8019
"00 Riket","diesel",12281,13524,18311,17958,19373,17940,12922,15410,17006,16285,17472,16671
"00 Riket","el",3,29,36,23,40,11,0,3,3,7,15,15
"00 Riket","elhybrid",238,250,374,336,300,194,121,257,245,177,256,179
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",817,973,1387,1539,1709,1602,911,1387,1340,1221,1423,974
"00 Riket","gas/gas flexifuel",275,308,569,525,767,470,335,607,872,732,664,494
"00 Riket","övriga bränslen",4,2,2,3,0,1,2,4,4,2,2,5
"01 Stockholms län","bensin",1563,1584,2355,2372,2625,2258,1565,1778,2094,1953,2024,2080
"01 Stockholms län","diesel",3033,3566,5255,4793,4816,4865,3284,3892,4524,4255,4828,4716
"01 Stockholms län","el",2,3,9,4,7,5,0,2,1,0,3,13
"01 Stockholms län","elhybrid",114,112,160,157,128,84,50,112,109,60,104,81
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",294,395,534,540,540,666,239,310,504,396,380,314
"01 Stockholms län","gas/gas flexifuel",74,94,164,202,317,221,150,220,316,278,264,201
"01 Stockholms län","övriga bränslen",1,0,0,1,0,0,1,1,1,0,0,1
"03 Uppsala län","bensin",178,215,276,363,311,345,193,210,281,196,230,202
"03 Uppsala län","diesel",357,398,507,581,577,591,422,470,486,442,487,520
"03 Uppsala län","el",0,1,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",7,8,7,5,5,3,3,5,3,5,5,3
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",12,23,25,35,27,43,31,33,34,32,32,10
"03 Uppsala län","gas/gas flexifuel",4,3,7,12,13,12,3,10,10,8,8,8
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,1,0,0,0
"04 Södermanlands län","bensin",203,202,279,278,304,265,188,268,235,261,251,198
"04 Södermanlands län","diesel",305,312,417,418,454,380,334,407,402,355,362,359
"04 Södermanlands län","el",0,0,0,1,1,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",2,5,14,13,18,2,1,9,6,4,6,6
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",13,16,18,24,19,39,32,30,36,27,28,34
"04 Södermanlands län","gas/gas flexifuel",6,5,10,13,17,9,7,15,21,16,12,6
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",306,281,436,483,428,416,324,395,371,380,362,308
"05 Östergötlands län","diesel",497,541,712,712,833,746,477,622,755,746,669,619
"05 Östergötlands län","el",0,0,0,1,0,0,0,0,0,0,1,0
"05 Östergötlands län","elhybrid",12,9,10,10,9,10,5,8,8,4,5,8
"05 Östergötlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","etanol/etanol flexifuel",31,24,39,47,66,48,57,53,56,68,49,44
"05 Östergötlands län","gas/gas flexifuel",17,19,30,22,23,18,10,23,48,31,31,25
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","bensin",398,284,484,528,593,409,343,434,370,281,325,295
"06 Jönköpings län","diesel",539,544,795,736,815,768,497,598,666,712,666,627
"06 Jönköpings län","el",0,1,1,2,1,0,0,0,0,0,0,1
"06 Jönköpings län","elhybrid",6,7,15,11,13,14,8,13,14,9,7,11
"06 Jönköpings län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","etanol/etanol flexifuel",32,42,41,54,74,52,28,86,69,53,56,17
"06 Jönköpings län","gas/gas flexifuel",13,17,18,16,13,13,4,12,16,27,14,9
"06 Jönköpings län","övriga bränslen",1,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",180,187,247,268,256,214,199,216,189,164,176,158
"07 Kronobergs län","diesel",277,304,397,404,420,365,324,317,322,363,350,350
"07 Kronobergs län","el",0,5,3,0,0,0,0,0,0,1,0,0
"07 Kronobergs län","elhybrid",2,2,1,4,2,3,2,3,4,0,5,4
"07 Kronobergs län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","etanol/etanol flexifuel",12,24,37,45,58,23,33,33,18,32,30,33
"07 Kronobergs län","gas/gas flexifuel",6,2,5,4,29,2,2,3,8,10,4,8
"07 Kronobergs län","övriga bränslen",0,1,1,0,0,0,1,0,1,0,0,0
"08 Kalmar län","bensin",147,166,301,278,237,193,170,234,235,178,164,161
"08 Kalmar län","diesel",254,254,378,427,378,334,307,449,356,318,405,276
"08 Kalmar län","el",0,0,1,0,1,0,0,0,1,0,1,0
"08 Kalmar län","elhybrid",8,1,2,4,3,0,1,5,6,1,4,0
"08 Kalmar län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","etanol/etanol flexifuel",7,10,20,29,46,35,34,21,20,23,27,37
"08 Kalmar län","gas/gas flexifuel",1,5,15,4,1,6,1,3,7,13,10,0
"08 Kalmar län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"09 Gotlands län","bensin",22,38,33,45,54,42,35,29,33,26,33,28
"09 Gotlands län","diesel",36,42,55,80,78,55,38,54,49,51,54,39
"09 Gotlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"09 Gotlands län","elhybrid",0,2,0,0,0,0,0,0,0,1,0,0
"09 Gotlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"09 Gotlands län","etanol/etanol flexifuel",1,2,2,8,10,17,2,9,1,3,6,6
"09 Gotlands län","gas/gas flexifuel",2,0,0,0,2,1,0,0,0,2,2,1
"09 Gotlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"10 Blekinge län","bensin",106,93,181,155,167,147,112,132,129,124,113,105
"10 Blekinge län","diesel",121,130,156,202,195,186,146,129,186,168,172,172
"10 Blekinge län","el",0,1,0,0,1,0,0,0,0,0,0,0
"10 Blekinge län","elhybrid",2,1,3,0,1,2,1,1,1,2,1,0
"10 Blekinge län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"10 Blekinge län","etanol/etanol flexifuel",20,17,28,27,25,25,29,43,16,20,33,34
"10 Blekinge län","gas/gas flexifuel",1,1,3,1,1,2,1,4,2,2,0,4
"10 Blekinge län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"12 Skåne län","bensin",1134,1211,1895,1651,1839,1652,1213,1332,1470,1276,1228,1244
"12 Skåne län","diesel",1509,1656,2154,2031,2495,2214,1652,1849,1941,1897,2093,2077
"12 Skåne län","el",0,5,7,1,8,1,0,1,0,0,3,0
"12 Skåne län","elhybrid",24,29,57,32,30,23,19,31,21,21,30,12
"12 Skåne län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"12 Skåne län","etanol/etanol flexifuel",58,71,170,167,209,189,100,174,172,155,166,94
"12 Skåne län","gas/gas flexifuel",49,60,91,89,121,58,48,93,193,112,110,87
"12 Skåne län","övriga bränslen",1,0,0,0,0,0,0,1,1,1,2,1
"13 Hallands län","bensin",254,267,452,368,417,399,267,348,368,337,378,341
"13 Hallands län","diesel",429,530,645,587,656,528,443,464,596,578,553,524
"13 Hallands län","el",0,1,0,0,0,0,0,0,0,1,0,0
"13 Hallands län","elhybrid",2,4,8,7,4,6,3,2,9,5,2,1
"13 Hallands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"13 Hallands län","etanol/etanol flexifuel",14,30,26,31,60,52,17,27,21,34,26,12
"13 Hallands län","gas/gas flexifuel",7,6,9,10,18,6,9,13,20,12,15,12
"13 Hallands län","övriga bränslen",0,0,1,0,0,0,0,0,0,0,0,1
"14 Västra Götalands län","bensin",1259,1424,2372,2212,2127,1897,1417,1751,1722,1678,1726,1590
"14 Västra Götalands län","diesel",2269,2443,3412,3500,3627,3426,2379,2858,3314,3050,3199,3205
"14 Västra Götalands län","el",0,5,4,10,18,4,0,0,1,4,6,0
"14 Västra Götalands län","elhybrid",29,45,61,49,51,30,16,39,40,41,53,27
"14 Västra Götalands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"14 Västra Götalands län","etanol/etanol flexifuel",179,189,255,281,232,186,119,244,180,116,234,155
"14 Västra Götalands län","gas/gas flexifuel",59,74,164,112,159,84,82,153,153,159,143,109
"14 Västra Götalands län","övriga bränslen",1,0,0,0,0,1,0,2,0,1,0,1
