"region","kategori","energityp","1990","1995","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"00 Riket","9.6.1 slutanv. Spec Hushåll småhus","fjärrvärme",2057436,2420798,2927039,3319849,3526821,3758159,3858969,3809290,3747356,4231643,4564297
"00 Riket","9.6.1 slutanv. Spec Hushåll småhus","el",25473162,26967314,27280801,27435430,27080383,27725455,26720524,26377885,26284461,24213338,23841570
"00 Riket","9.6.1 slutanv. Spec Hushåll småhus","total energi",48881781,51834360,48617715,50360412,47067890,48261789,41105699,44634739,43424672,41791500,40483485
"00 Riket","9.6.2 slutanv. Spec Hushåll flerbostadshus","fjärrvärme",19933107,22209709,20418344,24904092,23861281,24167012,25637023,24170457,21828525,22855177,23136304
"00 Riket","9.6.2 slutanv. Spec Hushåll flerbostadshus","el",6234829,6406331,5921685,6089613,8450765,6541894,5990849,6027488,6155770,5900348,5839144
"00 Riket","9.6.2 slutanv. Spec Hushåll flerbostadshus","total energi",33411195,36832251,32520888,36729930,40129842,33763638,33989295,32316972,30200411,30476844,29419643
"00 Riket","9.6.3 slutanv. Spec Hushåll fritidshus","fjärrvärme",0,0,0,0,0,0,0,0,0,0,0
"00 Riket","9.6.3 slutanv. Spec Hushåll fritidshus","el",2210309,2377298,2639695,2745589,2773540,2750349,2348557,2374461,2366857,2173179,2755490
"00 Riket","9.6.3 slutanv. Spec Hushåll fritidshus","total energi",2791691,2921634,3186375,2745589,3319910,2750349,2354715,2374461,2366857,2173179,2755490
"01 Stockholms län","9.6.1 slutanv. Spec Hushåll småhus","fjärrvärme",313086,343984,535070,555137,548632,381319,417642,364859,348194,454250,410817
"01 Stockholms län","9.6.1 slutanv. Spec Hushåll småhus","el",3264173,4108604,4123128,4413681,4323055,4677811,4617165,4679179,4657529,4442178,4166869
"01 Stockholms län","9.6.1 slutanv. Spec Hushåll småhus","total energi",4110524,6332657,6259923,6498008,6262655,6411043,5951308,6043454,5925515,5625365,5086468
"01 Stockholms län","9.6.2 slutanv. Spec Hushåll flerbostadshus","fjärrvärme",5721227,5867146,6155207,7205861,7057530,7307653,7714943,7081251,6745753,7701941,7007453
"01 Stockholms län","9.6.2 slutanv. Spec Hushåll flerbostadshus","el",1850525,1625737,1518849,1573454,1980155,1872037,1485620,..,..,..,..
"01 Stockholms län","9.6.2 slutanv. Spec Hushåll flerbostadshus","total energi",7633511,10084805,10313041,11161507,11061663,10321752,10019941,..,..,..,..
"01 Stockholms län","9.6.3 slutanv. Spec Hushåll fritidshus","fjärrvärme",0,0,0,0,0,0,0,0,0,0,0
