"region","drivmedel","2012M01","2012M02","2012M03","2012M04","2012M05","2012M06","2012M07","2012M08","2012M09","2012M10","2012M11","2012M12"
"00 Riket","bensin",5398,5918,9215,7832,8986,8816,6791,7371,6828,7416,8119,7875
"00 Riket","diesel",13223,14908,19715,16400,18266,17755,12338,14458,15885,16830,17432,18209
"00 Riket","el",10,14,33,37,20,16,11,14,37,18,26,28
"00 Riket","elhybrid",109,119,161,110,172,261,309,262,331,434,402,372
"00 Riket","laddhybrid",0,0,3,19,18,28,91,114,138,102,77,68
"00 Riket","etanol/etanol flexifuel",645,608,697,551,592,517,332,361,359,416,305,521
"00 Riket","gas/gas flexifuel",521,450,607,435,439,373,406,401,432,578,385,408
"00 Riket","övriga bränslen",3,3,5,7,3,0,5,3,2,9,3,5
"01 Stockholms län","bensin",1382,1504,2357,1821,2002,1907,1560,1645,1591,1811,1879,1854
"01 Stockholms län","diesel",3814,4534,5830,4838,5216,5426,3255,4113,4559,5026,5435,5179
"01 Stockholms län","el",8,3,15,20,14,11,4,8,17,3,9,14
"01 Stockholms län","elhybrid",46,44,60,52,90,87,64,97,136,175,181,172
"01 Stockholms län","laddhybrid",0,0,3,6,10,8,39,25,60,44,34,34
"01 Stockholms län","etanol/etanol flexifuel",201,145,189,135,158,125,84,58,103,103,86,249
"01 Stockholms län","gas/gas flexifuel",196,194,227,145,174,105,167,118,155,270,136,172
"01 Stockholms län","övriga bränslen",1,1,1,0,0,0,0,0,0,1,0,0
"03 Uppsala län","bensin",165,157,285,215,290,300,214,228,216,240,326,237
"03 Uppsala län","diesel",382,457,607,496,597,566,413,452,588,622,584,633
"03 Uppsala län","el",0,1,0,5,0,0,0,0,1,0,0,0
"03 Uppsala län","elhybrid",1,0,3,4,2,0,9,11,9,21,9,4
"03 Uppsala län","laddhybrid",0,0,0,1,0,1,2,3,5,5,2,0
"03 Uppsala län","etanol/etanol flexifuel",23,7,12,14,20,11,13,13,14,12,9,12
"03 Uppsala län","gas/gas flexifuel",6,7,7,8,11,5,7,11,6,19,9,7
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,1,0,0,0,0,0
"04 Södermanlands län","bensin",133,158,250,213,244,234,187,165,196,183,202,183
"04 Södermanlands län","diesel",242,271,443,346,450,332,250,318,328,317,353,399
"04 Södermanlands län","el",0,0,0,0,0,0,0,1,0,0,0,1
"04 Södermanlands län","elhybrid",0,1,4,1,0,9,7,5,14,13,15,8
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,3,2,5,0,1,0
"04 Södermanlands län","etanol/etanol flexifuel",12,10,10,11,10,4,7,3,7,6,3,4
"04 Södermanlands län","gas/gas flexifuel",19,7,18,4,8,2,5,8,4,9,10,2
"04 Södermanlands län","övriga bränslen",0,0,1,0,1,0,1,1,0,0,0,0
"05 Östergötlands län","bensin",239,246,397,346,342,385,273,328,356,332,377,344
"05 Östergötlands län","diesel",479,513,776,660,666,647,489,557,666,625,581,722
"05 Östergötlands län","el",0,2,0,1,0,0,0,0,0,2,1,0
"05 Östergötlands län","elhybrid",2,4,2,0,4,7,12,13,9,11,14,13
"05 Östergötlands län","laddhybrid",0,0,0,1,1,2,5,8,10,3,4,4
"05 Östergötlands län","etanol/etanol flexifuel",19,17,44,31,24,42,17,21,15,21,17,17
"05 Östergötlands län","gas/gas flexifuel",24,18,39,27,21,25,21,19,24,26,20,22
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,3,0,0
"06 Jönköpings län","bensin",229,236,469,333,351,355,264,330,252,278,250,357
"06 Jönköpings län","diesel",530,563,766,649,673,667,419,541,604,597,639,687
"06 Jönköpings län","el",0,0,1,0,0,0,0,0,0,0,1,0
"06 Jönköpings län","elhybrid",3,3,9,10,13,6,16,2,11,10,7,11
"06 Jönköpings län","laddhybrid",0,0,0,1,0,1,2,2,6,3,2,1
"06 Jönköpings län","etanol/etanol flexifuel",25,14,22,11,10,11,9,12,15,18,22,12
"06 Jönköpings län","gas/gas flexifuel",10,22,19,8,9,16,14,3,23,22,21,12
"06 Jönköpings län","övriga bränslen",0,1,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",108,130,182,172,197,172,155,165,168,159,181,156
"07 Kronobergs län","diesel",290,268,403,332,352,382,263,279,335,331,338,368
"07 Kronobergs län","el",0,1,0,1,0,0,0,0,0,0,0,0
"07 Kronobergs län","elhybrid",3,0,3,0,1,1,5,3,1,0,4,2
"07 Kronobergs län","laddhybrid",0,0,0,0,0,0,0,5,1,2,2,0
"07 Kronobergs län","etanol/etanol flexifuel",12,24,13,18,7,8,9,10,23,13,12,52
"07 Kronobergs län","gas/gas flexifuel",4,3,4,4,4,5,3,4,3,6,5,3
"07 Kronobergs län","övriga bränslen",0,0,1,0,0,0,1,0,0,0,0,0
"08 Kalmar län","bensin",119,123,221,201,229,225,201,196,188,203,207,137
"08 Kalmar län","diesel",215,288,384,387,389,365,261,288,422,346,349,367
"08 Kalmar län","el",0,0,0,0,0,0,0,0,0,0,0,1
"08 Kalmar län","elhybrid",1,1,0,3,0,2,7,7,4,4,1,3
"08 Kalmar län","laddhybrid",0,0,0,0,0,0,1,2,0,1,0,0
"08 Kalmar län","etanol/etanol flexifuel",18,17,28,13,27,12,7,7,7,8,9,4
"08 Kalmar län","gas/gas flexifuel",2,2,8,2,10,5,9,5,4,3,5,4
"08 Kalmar län","övriga bränslen",0,0,0,0,0,0,0,0,0,1,0,0
"09 Gotlands län","bensin",26,26,35,31,51,49,36,30,26,26,37,31
"09 Gotlands län","diesel",48,47,68,53,64,77,35,50,34,53,37,46
"09 Gotlands län","el",0,0,1,0,0,0,0,0,1,0,0,0
"09 Gotlands län","elhybrid",0,0,2,0,1,1,4,3,2,1,4,2
"09 Gotlands län","laddhybrid",0,0,0,0,0,1,0,2,0,1,0,1
"09 Gotlands län","etanol/etanol flexifuel",2,1,1,1,5,3,0,1,1,0,1,0
"09 Gotlands län","gas/gas flexifuel",0,0,0,0,0,0,0,0,0,0,2,0
"09 Gotlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"10 Blekinge län","bensin",77,84,146,109,145,114,118,131,104,108,128,124
"10 Blekinge län","diesel",122,122,198,143,189,163,132,145,173,167,185,212
"10 Blekinge län","el",0,0,0,0,1,0,0,0,0,0,0,0
"10 Blekinge län","elhybrid",0,0,0,0,0,6,2,2,1,3,1,1
"10 Blekinge län","laddhybrid",0,0,0,0,0,0,1,1,2,2,0,0
"10 Blekinge län","etanol/etanol flexifuel",19,22,22,12,32,20,10,20,8,17,14,16
"10 Blekinge län","gas/gas flexifuel",1,1,3,0,1,0,7,2,3,7,1,5
"10 Blekinge län","övriga bränslen",0,0,0,1,0,0,0,0,0,0,0,0
"12 Skåne län","bensin",831,918,1457,1234,1318,1359,1045,1087,1029,1140,1240,1163
"12 Skåne län","diesel",1608,1760,2210,1891,2126,1948,1718,1649,1912,2033,2006,1991
"12 Skåne län","el",2,2,2,2,3,0,0,0,3,2,2,0
"12 Skåne län","elhybrid",16,22,25,6,12,34,46,35,55,51,47,34
"12 Skåne län","laddhybrid",0,0,0,2,1,2,9,21,13,14,11,6
"12 Skåne län","etanol/etanol flexifuel",93,81,103,67,40,38,28,30,16,34,23,28
"12 Skåne län","gas/gas flexifuel",104,55,98,71,68,60,65,64,75,81,70,77
"12 Skåne län","övriga bränslen",1,0,0,2,0,0,0,0,1,1,0,1
"13 Hallands län","bensin",213,226,389,316,383,349,303,276,240,261,328,322
"13 Hallands län","diesel",425,494,612,520,589,490,429,395,464,533,444,622
"13 Hallands län","el",0,0,0,0,0,0,0,0,0,0,0,1
"13 Hallands län","elhybrid",5,1,2,3,3,4,12,8,4,9,7,10
"13 Hallands län","laddhybrid",0,0,0,4,1,3,4,2,3,2,0,0
"13 Hallands län","etanol/etanol flexifuel",10,31,27,14,13,7,4,4,8,1,3,8
"13 Hallands län","gas/gas flexifuel",11,11,13,20,6,7,4,7,11,11,6,6
"13 Hallands län","övriga bränslen",0,0,0,0,2,0,0,0,0,0,0,1
"14 Västra Götalands län","bensin",1020,1208,1737,1526,1816,1682,1150,1358,1256,1411,1525,1712
"14 Västra Götalands län","diesel",2313,2575,3688,2973,3391,3341,2183,2676,2751,2780,3017,3320
"14 Västra Götalands län","el",0,3,10,5,0,4,5,5,13,5,9,9
"14 Västra Götalands län","elhybrid",20,26,29,22,35,81,63,40,44,87,60,56
"14 Västra Götalands län","laddhybrid",0,0,0,4,3,5,10,24,24,13,8,18
"14 Västra Götalands län","etanol/etanol flexifuel",113,99,100,104,104,93,56,71,51,95,41,59
"14 Västra Götalands län","gas/gas flexifuel",119,110,134,113,95,108,71,114,96,88,70,58
"14 Västra Götalands län","övriga bränslen",0,0,2,1,0,0,0,0,0,1,0,1
"15 f.d. Älvsborgs län","bensin",0,0,0,0,0,0,0,0,0,0,0,0
