"region","drivmedel","2005M01","2005M02","2005M03","2005M04","2005M05","2005M06","2005M07","2005M08","2005M09","2005M10","2005M11","2005M12"
"00 Riket","bensin",17521,18986,24475,27241,27124,28248,18717,21328,26012,23987,23756,22358
"00 Riket","diesel",1886,2409,2697,2681,2598,2172,1649,2076,2829,2645,3061,4040
"00 Riket","el",0,0,0,0,1,0,0,0,0,1,0,0
"00 Riket","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",0,0,0,0,2,1,0,0,5,0,1,0
"00 Riket","gas/gas flexifuel",103,147,116,100,117,60,87,143,209,71,58,58
"00 Riket","övriga bränslen",0,0,0,0,2,0,0,0,1,0,0,0
"01 Stockholms län","bensin",4036,4563,5916,6857,6739,6832,4053,4968,6166,5426,5384,5765
"01 Stockholms län","diesel",431,695,684,583,647,502,304,508,798,721,692,1009
"01 Stockholms län","el",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","gas/gas flexifuel",53,63,31,18,42,10,23,51,112,18,7,8
"01 Stockholms län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","bensin",612,641,819,905,932,1165,536,696,883,814,736,750
"03 Uppsala län","diesel",68,70,91,80,94,76,46,85,108,93,115,148
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","gas/gas flexifuel",1,0,1,1,2,0,0,1,2,0,0,1
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","bensin",424,471,580,691,639,707,539,531,663,625,578,607
"04 Södermanlands län","diesel",50,57,56,60,53,37,32,38,52,51,57,94
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","gas/gas flexifuel",1,3,9,2,2,3,3,6,0,1,2,1
"04 Södermanlands län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",713,820,997,1190,1100,1008,740,865,1278,984,971,852
