"region","förbrukarkategori","bränsletyp","2009","2010","2011","2012","2013"
"00 Riket","slutanv. småhus","flytande (icke förnybara)",520744,626496,389348,..,355390
"00 Riket","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","fast (förnybara)",12999699,12351158,11932235,11524691,11069694
"00 Riket","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","fjärrvärme",5354914,..,5151327,5638034,5485476
"00 Riket","slutanv. småhus","el",27709761,..,..,..,25161619
"00 Riket","slutanv. småhus","summa förbrukarkategori",46585118,46732361,..,43044133,42072179
"00 Riket","slutanv. flerbostadshus","flytande (icke förnybara)",243365,290111,190650,..,94690
"00 Riket","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","fjärrvärme",22879121,28727879,24531918,26147870,25213165
"00 Riket","slutanv. flerbostadshus","el",5976504,6246062,..,..,6305331
"00 Riket","slutanv. flerbostadshus","summa förbrukarkategori",29098990,35264052,..,32699098,31613186
"00 Riket","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"00 Riket","slutanv. fritidshus","el",0,3240009,2749324,3042847,2964083
"00 Riket","slutanv. fritidshus","summa förbrukarkategori",0,3240009,2749324,3042847,2964083
"01 Stockholms län","slutanv. småhus","flytande (icke förnybara)",99761,91381,68870,44844,50241
"01 Stockholms län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","fast (förnybara)",459871,602443,582677,562131,..
"01 Stockholms län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","fjärrvärme",720108,547903,436319,476412,424627
"01 Stockholms län","slutanv. småhus","el",4692885,4837364,4073968,4309392,4160661
"01 Stockholms län","slutanv. småhus","summa förbrukarkategori",5972624,6079090,5161835,5392780,..
"01 Stockholms län","slutanv. flerbostadshus","flytande (icke förnybara)",143473,156028,98172,79659,19007
"01 Stockholms län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. flerbostadshus","fjärrvärme",7358330,8724531,7560371,7875987,7734817
"01 Stockholms län","slutanv. flerbostadshus","el",1548074,1642363,2029823,1840112,1829559
"01 Stockholms län","slutanv. flerbostadshus","summa förbrukarkategori",9049877,10522922,9688366,9795758,9583383
"01 Stockholms län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"01 Stockholms län","slutanv. fritidshus","el",0,552923,503951,572638,530172
"01 Stockholms län","slutanv. fritidshus","summa förbrukarkategori",0,552923,503951,572638,530172
"03 Uppsala län","slutanv. småhus","flytande (icke förnybara)",6081,13153,7407,..,..
"03 Uppsala län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. småhus","fast (förnybara)",434680,416543,403651,..,..
"03 Uppsala län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. småhus","fjärrvärme",..,220931,212357,215593,220206
"03 Uppsala län","slutanv. småhus","el",865689,903538,801087,881537,828779
"03 Uppsala län","slutanv. småhus","summa förbrukarkategori",..,1554165,1424502,1490713,1429838
"03 Uppsala län","slutanv. flerbostadshus","flytande (icke förnybara)",795,1974,887,654,203
"03 Uppsala län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. flerbostadshus","fjärrvärme",..,1013657,851794,912565,862786
"03 Uppsala län","slutanv. flerbostadshus","el",176681,205292,196614,196871,192226
"03 Uppsala län","slutanv. flerbostadshus","summa förbrukarkategori",..,1220923,1049295,1110090,1055215
"03 Uppsala län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"03 Uppsala län","slutanv. fritidshus","el",0,106987,105466,118340,110499
"03 Uppsala län","slutanv. fritidshus","summa förbrukarkategori",0,106987,105466,118340,110499
"04 Södermanlands län","slutanv. småhus","flytande (icke förnybara)",29967,16047,11970,..,..
"04 Södermanlands län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. småhus","fast (förnybara)",345911,354512,343540,..,..
"04 Södermanlands län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. småhus","fjärrvärme",..,159045,146565,187162,158250
"04 Södermanlands län","slutanv. småhus","el",795381,786953,704385,759766,723261
"04 Södermanlands län","slutanv. småhus","summa förbrukarkategori",..,1316556,1206460,..,..
"04 Södermanlands län","slutanv. flerbostadshus","flytande (icke förnybara)",2333,3853,2210,1819,1516
"04 Södermanlands län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. flerbostadshus","fjärrvärme",..,691279,620871,626515,597450
"04 Södermanlands län","slutanv. flerbostadshus","el",164439,174601,259785,260281,219767
"04 Södermanlands län","slutanv. flerbostadshus","summa förbrukarkategori",..,869733,882866,888615,818733
"04 Södermanlands län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"04 Södermanlands län","slutanv. fritidshus","el",0,141647,116405,132598,134822
"04 Södermanlands län","slutanv. fritidshus","summa förbrukarkategori",0,141647,116405,132598,134822
"05 Östergötlands län","slutanv. småhus","flytande (icke förnybara)",15706,34660,16915,..,..
"05 Östergötlands län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. småhus","fast (förnybara)",583657,565463,547963,..,..
"05 Östergötlands län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. småhus","fjärrvärme",387060,459062,394802,418000,412430
"05 Östergötlands län","slutanv. småhus","el",1078353,1119173,984164,1035809,1021700
"05 Östergötlands län","slutanv. småhus","summa förbrukarkategori",2064775,2178358,1943845,1992115,1953400
"05 Östergötlands län","slutanv. flerbostadshus","flytande (icke förnybara)",1620,9147,6152,4981,4405
"05 Östergötlands län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. flerbostadshus","fjärrvärme",1363602,1539259,1246171,1336296,1280291
"05 Östergötlands län","slutanv. flerbostadshus","el",238054,246982,241202,240154,233620
"05 Östergötlands län","slutanv. flerbostadshus","summa förbrukarkategori",1603275,1795389,1493524,1581432,1518317
"05 Östergötlands län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"05 Östergötlands län","slutanv. fritidshus","el",0,133413,113120,125474,122103
"05 Östergötlands län","slutanv. fritidshus","summa förbrukarkategori",0,133413,113120,125474,122103
"06 Jönköpings län","slutanv. småhus","flytande (icke förnybara)",20876,28124,14612,..,..
"06 Jönköpings län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. småhus","fast (förnybara)",784320,730526,707917,..,..
"06 Jönköpings län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. småhus","fjärrvärme",199489,208169,179428,195677,192517
"06 Jönköpings län","slutanv. småhus","el",1025416,1138633,997852,1044023,986721
"06 Jönköpings län","slutanv. småhus","summa förbrukarkategori",2030101,2105452,1899810,1930165,1845299
"06 Jönköpings län","slutanv. flerbostadshus","flytande (icke förnybara)",4542,13601,9714,9572,9861
"06 Jönköpings län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. flerbostadshus","fjärrvärme",609654,673215,560361,603737,599422
"06 Jönköpings län","slutanv. flerbostadshus","el",174062,197250,181593,166455,171203
"06 Jönköpings län","slutanv. flerbostadshus","summa förbrukarkategori",788257,884066,751668,779764,780487
"06 Jönköpings län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"06 Jönköpings län","slutanv. fritidshus","el",0,39297,34147,36634,33309
"06 Jönköpings län","slutanv. fritidshus","summa förbrukarkategori",0,39297,34147,36634,33309
"07 Kronobergs län","slutanv. småhus","flytande (icke förnybara)",36136,11593,4716,..,..
"07 Kronobergs län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. småhus","fast (förnybara)",515591,450922,436966,..,..
"07 Kronobergs län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. småhus","fjärrvärme",197359,241260,218448,223358,230482
"07 Kronobergs län","slutanv. småhus","el",513704,514106,460641,470263,478031
"07 Kronobergs län","slutanv. småhus","summa förbrukarkategori",1262790,1217881,1120772,1117761,1116925
"07 Kronobergs län","slutanv. flerbostadshus","flytande (icke förnybara)",11019,4429,2000,1093,787
"07 Kronobergs län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. flerbostadshus","fjärrvärme",357167,455920,355802,371002,368398
"07 Kronobergs län","slutanv. flerbostadshus","el",99972,101820,95570,96733,96901
"07 Kronobergs län","slutanv. flerbostadshus","summa förbrukarkategori",468158,562169,453372,468828,466086
"07 Kronobergs län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"07 Kronobergs län","slutanv. fritidshus","el",0,50827,43312,46308,46336
"07 Kronobergs län","slutanv. fritidshus","summa förbrukarkategori",0,50827,43312,46308,46336
"08 Kalmar län","slutanv. småhus","flytande (icke förnybara)",23411,45258,24424,..,..
"08 Kalmar län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. småhus","fast (förnybara)",718829,625264,605914,..,..
"08 Kalmar län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. småhus","fjärrvärme",158120,195579,169169,173966,175456
"08 Kalmar län","slutanv. småhus","el",738828,705117,634286,..,..
"08 Kalmar län","slutanv. småhus","summa förbrukarkategori",1639188,1571218,1433792,1422536,1405438
"08 Kalmar län","slutanv. flerbostadshus","flytande (icke förnybara)",1947,11783,6550,6564,4059
"08 Kalmar län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. flerbostadshus","fjärrvärme",447848,505116,405424,485845,..
"08 Kalmar län","slutanv. flerbostadshus","el",..,128020,124640,128931,123770
"08 Kalmar län","slutanv. flerbostadshus","summa förbrukarkategori",..,644919,536614,621340,..
"08 Kalmar län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"08 Kalmar län","slutanv. fritidshus","el",0,..,104238,104700,111682
"08 Kalmar län","slutanv. fritidshus","summa förbrukarkategori",0,..,104238,104700,111682
"09 Gotlands län","slutanv. småhus","flytande (icke förnybara)",5911,5962,1914,785,1652
"09 Gotlands län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. småhus","fast (förnybara)",229325,181977,176345,169800,163097
"09 Gotlands län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. småhus","fjärrvärme",30901,19080,650,23310,13112
"09 Gotlands län","slutanv. småhus","el",207525,186973,169752,172102,201998
"09 Gotlands län","slutanv. småhus","summa förbrukarkategori",473663,393992,348662,365997,379858
"09 Gotlands län","slutanv. flerbostadshus","flytande (icke förnybara)",1877,499,435,332,417
"09 Gotlands län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. flerbostadshus","fjärrvärme",231230,83418,1130,137019,67076
"09 Gotlands län","slutanv. flerbostadshus","el",32741,38408,34431,34127,77172
"09 Gotlands län","slutanv. flerbostadshus","summa förbrukarkategori",265848,122325,35996,171478,144665
"09 Gotlands län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"09 Gotlands län","slutanv. fritidshus","el",0,53148,46634,48001,45676
"09 Gotlands län","slutanv. fritidshus","summa förbrukarkategori",0,53148,46634,48001,45676
"10 Blekinge län","slutanv. småhus","flytande (icke förnybara)",10091,22833,14398,5606,..
"10 Blekinge län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. småhus","fast (förnybara)",284859,244269,236709,..,..
"10 Blekinge län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. småhus","fjärrvärme",23668,28146,25790,..,..
"10 Blekinge län","slutanv. småhus","el",558733,540903,430834,505803,501753
"10 Blekinge län","slutanv. småhus","summa förbrukarkategori",877351,836151,707731,776727,777022
"10 Blekinge län","slutanv. flerbostadshus","flytande (icke förnybara)",2179,11366,8363,3730,3259
"10 Blekinge län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. flerbostadshus","fjärrvärme",297325,316759,221339,..,..
"10 Blekinge län","slutanv. flerbostadshus","el",107193,111346,96876,102939,107314
"10 Blekinge län","slutanv. flerbostadshus","summa förbrukarkategori",406697,439471,326578,..,..
"10 Blekinge län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"10 Blekinge län","slutanv. fritidshus","el",0,61827,52135,59953,59670
"10 Blekinge län","slutanv. fritidshus","summa förbrukarkategori",0,61827,52135,59953,59670
"12 Skåne län","slutanv. småhus","flytande (icke förnybara)",80374,85624,48316,..,..
"12 Skåne län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. småhus","fast (förnybara)",993466,993040,962307,926592,890010
"12 Skåne län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. småhus","fjärrvärme",497916,755563,674108,765241,732844
"12 Skåne län","slutanv. småhus","el",..,3725644,3284126,..,3325969
"12 Skåne län","slutanv. småhus","summa förbrukarkategori",..,5559871,4968856,..,..
"12 Skåne län","slutanv. flerbostadshus","flytande (icke förnybara)",18666,30197,20851,16714,15669
"12 Skåne län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. flerbostadshus","fjärrvärme",..,..,..,..,..
"12 Skåne län","slutanv. flerbostadshus","el",710237,763515,753274,758155,..
"12 Skåne län","slutanv. flerbostadshus","summa förbrukarkategori",..,..,..,..,..
"12 Skåne län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"12 Skåne län","slutanv. fritidshus","el",0,313427,..,..,..
"12 Skåne län","slutanv. fritidshus","summa förbrukarkategori",0,313427,..,..,..
"13 Hallands län","slutanv. småhus","flytande (icke förnybara)",7770,13607,9396,..,..
"13 Hallands län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. småhus","fast (förnybara)",455985,510553,494752,..,..
"13 Hallands län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. småhus","fjärrvärme",69453,78222,101982,102996,110774
"13 Hallands län","slutanv. småhus","el",1154101,1113956,1015691,1040471,1026776
"13 Hallands län","slutanv. småhus","summa förbrukarkategori",1687309,1716339,1621821,..,1602462
"13 Hallands län","slutanv. flerbostadshus","flytande (icke förnybara)",11127,4573,3358,4476,3938
"13 Hallands län","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. flerbostadshus","fjärrvärme",407317,456281,374156,427458,422822
"13 Hallands län","slutanv. flerbostadshus","el",225519,195373,189971,192159,186991
"13 Hallands län","slutanv. flerbostadshus","summa förbrukarkategori",643963,656227,567485,624092,613752
"13 Hallands län","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"13 Hallands län","slutanv. fritidshus","el",0,153331,120507,126518,127357
"13 Hallands län","slutanv. fritidshus","summa förbrukarkategori",0,153331,120507,126518,127357
"14 Västra Götalands län","slutanv. småhus","flytande (icke förnybara)",75940,94753,59702,..,..
"14 Västra Götalands län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"14 Västra Götalands län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"14 Västra Götalands län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"14 Västra Götalands län","slutanv. småhus","fast (förnybara)",2009436,1947735,1887455,1817404,1745652
"14 Västra Götalands län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"14 Västra Götalands län","slutanv. småhus","fjärrvärme",535707,606683,..,..,589206
